Rank,Participante,Puntaje,País
1,Angello77,900.0,Peru
2,Bloody Cheese,670.0,Peru
3,Elin beacil,630.0,Peru
4,Ricomam,595.0,Peru
5,Akaru,540.0,Mexico
6,D'AllFather,530.0,Peru
7,Joscake,530.0,Peru
8,Fur4nko,520.0,Argentina
9,CaradeCoso,435.0,Argentina
10,Darmanethan,425.0,Nicaragua
11,Adpg,390.0,Venezuela
12,Yabadaba,390.0,Peru
13,Hydreigon_chelas,380.0,Venezuela
14,Davarv,370.0,Mexico
15,Moirix,370.0,Argentina
16,The.Ultracheese,365.0,Peru
17,Porygon Z,345.0,Mexico
18,SasoriVzla7,340.0,Venezuela
19,Chris FPS,340.0,España
20,A25,320.0,Peru
21,Angelowos,300.0,Peru
22,Draco axel,300.0,EEUU
23,ZapeohDev,295.0,Argentina
24,Lautaro,290.0,Argentina
25,Gold,270.0,Cuba
26,Haseo,255.0,Ecuador
27,Saga,250.0,Venezuela
28,Roy Kasoy,240.0,Peru
29,Bamdara,235.0,Venezuela
30,Mr.Shadowdusk,230.0,Argentina
31,Okari958,215.0,Costa Rica
32,RIIZExyz,210.0,Peru
33,Car10seduard0,200.0,Peru
34,Luigillanos,190.0,Ecuador
35,JaLax,190.0,Peru
36,GatitaGolosa123,185.0,Colombia
37,LABIAMG,180.0,Colombia
38,Nitr0kill3r,175.0,Mexico
39,David Wong,170.0,Peru
40,lexodia,160.0,Peru
41,Aikauwu,155.0,Peru
42,haise_owo,150.0,Rep.Dom
43,Nigga Chan,150.0,Peru
44,Chonarthas,140.0,Peru
45,skll02,135.0,Rep.Dom
46,Jhos,130.0,Peru
47,Alonso26ca,130.0,Peru
48,Luca,120.0,Argentina
49,Valentino Parra,120.0,Peru
50,Mar,120.0,Mexico
51,Juan Jose,120.0,Peru
52,Dino agente,120.0,Venezuela
53,Rainer,120.0,Peru
54,Chescor,120.0,España
55,ShinkaHMA,120.0,Venezuela
56,Arnau,110.0,España
57,EmperorGambit,110.0,Ecuador
58,Edenking,110.0,Costa Rica
59,afroier,100.0,Chile
60,Namelis,90.0,Costa Rica
61,Fabricio19jr,90.0,Peru
62,Ake-Izou,85.0,Mexico
63,Fran,80.0,Ecuador
64,Jeremith047,80.0,Panama
65,Edgardvgc2189,70.0,EEUU
66,Blazing,70.0,Mexico
67,Tronchi,65.0,Peru
68,Kazaheta,65.0,Mexico
69,MaskWolf,60.0,Peru
70,Dragonessi15,60.0,Mexico
71,Saperoko10,60.0,Peru
72,Itzer,50.0,Peru
73,Fran Guarderia,50.0,Mexico
74,Manuel Juarez,50.0,Peru
75,DMRS 666,50.0,Honduras
76,JO6EX21,50.0,Mexico
77,eljulius,50.0,Venezuela
78,XrisPG,50.0,Peru
79,Cauã,50.0,Brasil
80,Wiwi,50.0,Peru
81,Jonus,50.0,Colombia
82,Kommander,50.0,Peru
83,HaoSigismondi,50.0,Peru
84,Blazcoh,45.0,Colombia
85,Phiratevis,40.0,Venezuela
86,Fan,40.0,Peru
87,Gerbacia14,40.0,Peru
88,MafiaPolar6242,40.0,Mexico
89,Juanssss,30.0,Colombia
90,Sebastián Solari,30.0,Peru
91,JuanJau,30.0,Argentina
92,HallacAs,30.0,Venezuela
93,Ocnarf30,30.0,Peru
94,deanking654,30.0,Colombia
95,Jers512,30.0,Mexico
96,masafesio,30.0,Venezuela
97,MONTIEL JAEGER,30.0,Mexico
98,Minipapus,25.0,Mexico
99,SolanaPendragon,25.0,Mexico
100,xtososa777,20.0,Peru
101,Lord BadHax,20.0,Mexico
102,Guiltykiss,20.0,Colombia
103,CrisWWE,20.0,Cuba
104,Popplioperu98,20.0,Peru
105,NanDitto,20.0,Peru
106,PlasticBoy,20.0,Peru
107,Yaspo,10.0,Peru
108,Willow,10.0,Peru
109,TFabian,10.0,Mexico
110,Sammy Sweet,10.0,Costa Rica
111,24.Yosua,10.0,Peru
112,Roncito,10.0,Peru
113,Lefael,10.0,Peru
114,Aki,10.0,Peru
115,Alexid,10.0,Peru
116,Aniquem_oficial,10.0,Peru
117,AoiTenshi,10.0,Peru
118,Chuta,10.0,Peru
119,Dino324000,10.0,Mexico
120,Drixxard,10.0,Venezuela
121,Jacob30143,10.0,Panama
122,JeanRyuPR,10.0,EEUU
123,Jason,10.0,Peru
124,Londu,10.0,Mexico
125,MAF1001,10.0,Peru
126,Naval 567,10.0,Peru
127,O'Fenomenon't,10.0,Bolivia
128,Oscopio,10.0,Venezuela
129,Pandu,10.0,Peru
130,yanjaen666,10.0,Venezuela
131,Ralca 1,5.0,Cuba
132,YisusProGamer007,5.0,Peru
133,Edylost,5.0,Mexico
134,Txsb2024,5.0,Mexico
135,gbrielzzzs,5.0,Ecuador
136,AxRider,5.0,Mexico
137,Puchamon03,5.0,Mexico
138,Rafa4821,5.0,Chile
