Rank,Participante,Puntaje,País
1,Yabadaba,760.0,Peru
2,Luigillanos,650.0,Ecuador
3,Haseo,520.0,Ecuador
4,Joscake,520.0,Peru
5,Darmanethan,450.0,Nicaragua
6,Lautaro,430.0,Argentina
7,The.Ultracheese,420.0,Peru
8,Roy Kasoy,375.0,Peru
9,Jhos,355.0,Peru
10,Namelis,350.0,Costa Rica
11,Elin beacil,340.0,Peru
12,Angello77,330.0,Peru
13,D'AllFather,310.0,Peru
14,Alonso26ca,270.0,Peru
15,Nigga Chan,250.0,Peru
16,Angelowos,250.0,Peru
17,Pandu,230.0,Peru
18,LABIAMG,220.0,Colombia
19,Tronchi,205.0,Peru
20,Edenking,180.0,Costa Rica
21,Yaspo,170.0,Peru
22,xtososa777,170.0,Peru
23,Arnau,170.0,España
24,Ricomam,160.0,Peru
25,Dino agente,140.0,Venezuela
26,Alechiii,140.0,Peru
27,Mr.Shadowdusk,130.0,Argentina
28,Ocnarf30,125.0,Peru
29,Miler,120.0,Peru
30,Dark Savitar,120.0,Peru
31,MaskWolf,100.0,Peru
32,Adpg,90.0,Venezuela
33,Chescor,90.0,España
34,Jffmm,90.0,Peru
35,Roncito,80.0,Peru
36,Renzo,80.0,Peru
37,Bloody Cheese,80.0,Peru
38,Draco axel,80.0,EEUU
39,Willow,70.0,Peru
40,Dino324000,65.0,Mexico
41,Saga,60.0,Venezuela
42,MAF1001,60.0,Peru
43,SET,50.0,Peru
44,Star,50.0,Argentina
45,Aki,50.0,Peru
46,O'Fenomenon't,50.0,Bolivia
47,lexodia,50.0,Peru
48,Eduarena,50.0,Peru
49,Blazing,45.0,Mexico
50,A25,40.0,Peru
51,Davarv,40.0,Mexico
52,Fabricio19jr,40.0,Peru
53,Juanssss,40.0,Colombia
54,The Ranita,40.0,Peru
55,Spodoptera,40.0,Peru
56,SebaMasterX,40.0,Argentina
57,Mario Luke,30.0,Peru
58,Elterna,30.0,Peru
59,Elinocente,20.0,Peru
60,deanking654,20.0,Colombia
61,Adrieecat,20.0,Peru
62,XTheFury,20.0,Peru
63,Vonie-Chan,20.0,Peru
64,Fur4nko,20.0,Argentina
65,Melee,20.0,Peru
66,Pelonski,20.0,Peru
67,Joan,20.0,Peru
68,CRISSXEROX,20.0,Peru
69,Kazaheta,20.0,Mexico
70,Pepinito24,20.0,Peru
71,Santepa123,20.0,Argentina
72,Riubyx,20.0,Chile
73,JaLax,20.0,Peru
74,SuperSerperior999,10.0,Peru
75,Steph,10.0,Peru
76,Exopez,10.0,Mexico
77,GatitaGolosa123,10.0,Colombia
78,Eri0ne$,10.0,Nicaragua
79,Omarjmata,10.0,Venezuela
80,ElBuenPanaLemut,10.0,Peru
81,Zek123,10.0,Guatemala
82,DiosTeAma,10.0,Peru
83,gaiver_a,10.0,Peru
84,Mafer,10.0,Peru
85,Salty (Bichota),10.0,Peru
