feature,importance,rank,selected
winrate_m18_g,0.012802345,1,1
pokes_sob_mean_m36_g,0.009740222,2,1
winrate_m36_g,0.009676249,3,1
pokes_sob_mean_m36_p,0.009174868,4,1
pokes_sob_mean_m12_p,0.008395152,5,1
winrate_m24_g,0.007887276,6,1
pokes_sob_mean_m9_p,0.006599641,7,1
pokes_sob_mean_m18_p,0.0064608348,8,1
pokes_sob_mean_m15_p,0.0060962667,9,1
pokes_venc_sum_m12_g,0.006089633,10,1
wr_tier_RANDOM SINGLES_m18_g,0.0058975797,11,1
wr_rep_2_m18_p,0.005438317,12,1
pokes_sob_mean_m24_p,0.0053830207,13,1
cat_torneo_sum_m18_g,0.0047118342,14,1
wr_tier_NAT DEX_m12_g,0.004407015,15,1
wr_rep_1_m36_p,0.0043645613,16,0
cat_liga_mean_m18_p,0.0041270372,17,0
wr_tier_NAT DEX_m15_g,0.004125386,18,0
cat_torneo_mean_m9_p,0.0041240207,19,0
liga_pjs_mean_m24_p,0.0040487275,20,0
liga_pms_sum_m7_p,0.0039804513,21,0
liga_pjs_mean_m18_g,0.0039712396,22,0
nb_ratio_m1_vs_m36_g,0.0039476706,23,0
cat_liga_mean_m24_g,0.0037484586,24,0
wr_rep_3_m12_p,0.0036681052,25,0
winrate_m15_g,0.003652106,26,0
rep_actual_mean_m24_g,0.0035743737,27,0
wr_tier_NAT DEX_m7_p,0.0035668367,28,0
wr_rep_3_m36_g,0.003557714,29,0
fmt_singles_mean_m36_g,0.0033987798,30,0
wr_tier_OU_m18_g,0.0033884016,31,0
wr_rep_1_m18_g,0.0033395754,32,0
pokes_venc_mean_m9_p,0.0033369155,33,0
cat_torneo_sum_m36_g,0.0033022366,34,0
fmt_dobles_mean_m12_p,0.003265623,35,0
liga_pss_mean_m3_p,0.0032391148,36,0
wr_diff_m12_vs_m24_p,0.0032268965,37,0
pokes_sob_mean_m7_p,0.0032248374,38,0
liga_pjs_mean_m24_g,0.0032003052,39,0
rep_actual_mean_m7_p,0.0031995426,40,0
wr_rep_1_m12_p,0.0031733601,41,0
cat_ascenso_mean_m15_g,0.0031557528,42,0
rep_actual_sum_m36_p,0.0031426598,43,0
pokes_sob_mean_m9_g,0.003134992,44,0
liga_pss_mean_m7_p,0.0031311184,45,0
cat_torneo_mean_m15_g,0.003125954,46,0
wr_tier_OU_m24_p,0.0030938054,47,0
wr_tier_NAT DEX_m18_p,0.0030445103,48,0
wr_tier_STADIUM OU GEN 1_m5_p,0.0030125247,49,0
cat_torneo_mean_m7_g,0.0030101745,50,0
wr_tier_DOU_m9_g,0.002990921,51,0
meses_activo_m18_g,0.0029849499,52,0
wr_rep_1_m18_p,0.0029759442,53,0
cat_liga_mean_m18_g,0.0029717954,54,0
pokes_venc_mean_m9_g,0.0029203438,55,0
wr_rep_1_m36_g,0.0029068203,56,0
liga_pms_sum_m12_p,0.002896177,57,0
ma_ratio_m1_vs_m36_p,0.0028837926,58,0
